date_time,tempC,tempF
"03/06/17 19:24:47 EST",21.937,71.4866
"03/06/17 19:25:18 EST",29.312,84.7616
"03/06/17 19:25:49 EST",31.812,89.2616
"03/06/17 19:26:20 EST",32.625,90.725
"03/06/17 19:26:50 EST",33.0,91.4
"03/06/17 19:27:21 EST",33.187,91.7366
"03/06/17 19:27:52 EST",33.312,91.9616
"03/06/17 19:28:23 EST",33.437,92.1866
"03/06/17 19:28:54 EST",33.5,92.3
"03/06/17 19:29:25 EST",33.562,92.4116
"03/06/17 19:29:55 EST",31.75,89.15
"03/06/17 19:30:26 EST",30.0,86.0
"03/06/17 19:30:57 EST",28.625,83.525
"03/06/17 19:31:28 EST",27.562,81.6116
"03/06/17 19:31:59 EST",26.687,80.0366
"03/06/17 19:32:30 EST",26.0,78.8
"03/06/17 19:33:01 EST",25.437,77.7866
"03/06/17 19:33:31 EST",24.937,76.8866
"03/06/17 19:34:02 EST",24.5,76.1
"03/06/17 19:34:33 EST",24.125,75.425
